# L  T  POL  MV
1.910000000000000000e+02 8.545833632711055638e-08 1.465126018802702074e-08 1.159925359381312075e-08
1.920000000000000000e+02 8.558702825591252217e-08 1.467267293880254628e-08 1.162549756750466260e-08
1.930000000000000000e+02 8.571587079235678817e-08 1.469408541143984485e-08 1.165176587219222816e-08
1.940000000000000000e+02 8.584484153236231602e-08 1.471549640607419816e-08 1.167805619189478818e-08
1.950000000000000000e+02 8.597394455265867178e-08 1.473690472288383677e-08 1.170436664380131564e-08
1.960000000000000000e+02 8.610315872221092055e-08 1.475830917413971007e-08 1.173069491962104472e-08
1.970000000000000000e+02 8.623248651635467633e-08 1.477970857261104614e-08 1.175703909026390210e-08
1.980000000000000000e+02 8.636190553842463453e-08 1.480110174197578541e-08 1.178339680238649825e-08
1.990000000000000000e+02 8.649141931413214885e-08 1.482248750822039209e-08 1.180976613801790694e-08
2.000000000000000000e+02 8.662100667454878318e-08 1.484386470696444418e-08 1.183614474756475701e-08
2.010000000000000000e+02 8.675066975216746483e-08 1.486523217709965264e-08 1.186253067755075265e-08
2.020000000000000000e+02 8.688038786357629021e-08 1.488658876645453482e-08 1.188892157173821428e-08
2.030000000000000000e+02 8.701016250508157906e-08 1.490793332699955947e-08 1.191531544858355407e-08
2.040000000000000000e+02 8.713997336614055894e-08 1.492926471814261612e-08 1.194170995423428265e-08
2.050000000000000000e+02 8.726982154707102472e-08 1.495058180619276545e-08 1.196810308161666177e-08
2.060000000000000000e+02 8.739968532127191796e-08 1.497188346253097902e-08 1.199449244073391985e-08
2.070000000000000000e+02 8.752956716941224858e-08 1.499316856704100649e-08 1.202087603752085709e-08
2.080000000000000000e+02 8.765944481543872443e-08 1.501443600335938031e-08 1.204725146255835882e-08
2.090000000000000000e+02 8.778932129000035684e-08 1.503568466526787740e-08 1.207361673443825333e-08
2.100000000000000000e+02 8.791917397717740253e-08 1.505691344918662682e-08 1.209996942139272301e-08
2.110000000000000000e+02 8.804900463530398381e-08 1.507812126164708438e-08 1.212630751018982880e-08
2.120000000000000000e+02 8.817879207446038821e-08 1.509930701242773722e-08 1.215262859419262839e-08
2.130000000000000000e+02 8.830853756281485493e-08 1.512046962171179689e-08 1.217893065016615706e-08
2.140000000000000000e+02 8.843821891101204324e-08 1.514160801217423744e-08 1.220521123526860592e-08
2.150000000000000000e+02 8.856783871400029251e-08 1.516272111751169840e-08 1.223146835536918308e-08
2.160000000000000000e+02 8.869737445965768553e-08 1.518380787383605437e-08 1.225769956464010984e-08
2.170000000000000000e+02 8.882682766613026752e-08 1.520486722852594565e-08 1.228390283751164962e-08
2.180000000000000000e+02 8.895617729109584197e-08 1.522589813121715353e-08 1.231007576452781367e-08
2.190000000000000000e+02 8.908542291827943170e-08 1.524689954280787076e-08 1.233621627570512296e-08
2.200000000000000000e+02 8.921454416847083845e-08 1.526787042748783033e-08 1.236232197462372027e-08
2.210000000000000000e+02 8.934354124717584593e-08 1.528880975922110857e-08 1.238839081636509376e-08
2.220000000000000000e+02 8.947239426822131603e-08 1.530971651672668393e-08 1.241442040906563269e-08
2.230000000000000000e+02 8.960110195368526632e-08 1.533058968735690830e-08 1.244040868912309158e-08
2.240000000000000000e+02 8.972964485364467713e-08 1.535142826397700115e-08 1.246635327218959791e-08
2.250000000000000000e+02 8.985802252883548827e-08 1.537223124770194208e-08 1.249225211879908687e-08
2.260000000000000000e+02 8.998621437253524596e-08 1.539299764600234960e-08 1.251810283478021308e-08
2.270000000000000000e+02 9.011422019890828323e-08 1.541372647373443351e-08 1.254390338494554149e-08
2.280000000000000000e+02 9.024201903318218263e-08 1.543441675333474631e-08 1.256965138476175397e-08
2.290000000000000000e+02 9.036961237099044183e-08 1.545506751338992174e-08 1.259534483961707132e-08
2.300000000000000000e+02 9.049697755382098045e-08 1.547567779123666225e-08 1.262098134486747747e-08
2.310000000000000000e+02 9.062411542862120866e-08 1.549624662986427517e-08 1.264655890274154029e-08
2.320000000000000000e+02 9.075100556788832413e-08 1.551677308125277666e-08 1.267207517212659753e-08
2.330000000000000000e+02 9.087764724983340493e-08 1.553725620306956240e-08 1.269752813380557204e-08
2.340000000000000000e+02 9.100402096536995352e-08 1.555769506255647827e-08 1.272291547641990014e-08
2.350000000000000000e+02 9.113012532330857124e-08 1.557808873190820336e-08 1.274823519321275801e-08
2.360000000000000000e+02 9.125594147827488165e-08 1.559843629378556103e-08 1.277348499999433088e-08
2.370000000000000000e+02 9.138146765468011892e-08 1.561873683522290682e-08 1.279866290477217642e-08
2.380000000000000000e+02 9.150668407844208536e-08 1.563898945487766509e-08 1.282376661959246062e-08
2.390000000000000000e+02 9.163159158725693697e-08 1.565919325469040626e-08 1.284879422755309704e-08
2.400000000000000000e+02 9.175616877513234889e-08 1.567934734963289561e-08 1.287374343566046851e-08
2.410000000000000000e+02 9.188041623788246646e-08 1.569945085691286363e-08 1.289861234090805578e-08
2.420000000000000000e+02 9.200431330375607839e-08 1.571950290745104758e-08 1.292339868993256246e-08
2.430000000000000000e+02 9.212785932226968002e-08 1.573950263430664515e-08 1.294810057796023267e-08
2.440000000000000000e+02 9.225103531348447634e-08 1.575944918537817311e-08 1.297271581358013033e-08
2.450000000000000000e+02 9.237384017744939803e-08 1.577934170907720867e-08 1.299724251553603022e-08
2.460000000000000000e+02 9.249625441944508217e-08 1.579917937106543294e-08 1.302167851102550609e-08
2.470000000000000000e+02 9.261827811233015296e-08 1.581896133557714086e-08 1.304602197312577893e-08
2.480000000000000000e+02 9.273989179401257278e-08 1.583868678487206750e-08 1.307027075549609903e-08
2.490000000000000000e+02 9.286109607525289950e-08 1.585835490107545500e-08 1.309442307771160072e-08
