# L  T  POL  MV
7.500000000000000000e+01 6.085793969705581642e-08 7.615866383152837875e-09 6.051925079053793691e-09
7.600000000000000000e+01 6.091455878393510513e-08 7.621215430034698142e-09 6.058426900997837878e-09
7.700000000000000000e+01 6.097173551387506641e-08 7.626628427961219400e-09 6.065009346647459856e-09
7.800000000000000000e+01 6.102943641910684998e-08 7.632104688427105050e-09 6.071671618799346268e-09
7.900000000000000000e+01 6.108769518228199602e-08 7.637643523850625498e-09 6.078413596928456094e-09
8.000000000000000000e+01 6.114647818008818834e-08 7.643244243763111406e-09 6.085234503485066472e-09
8.100000000000000000e+01 6.120581377465099965e-08 7.648906156597170932e-09 6.092134109825564607e-09
8.200000000000000000e+01 6.126567406594001556e-08 7.654628568582813897e-09 6.099111706127717341e-09
8.300000000000000000e+01 6.132608484020938516e-08 7.660410785648043175e-09 6.106167023479642138e-09
8.400000000000000000e+01 6.138702067075783262e-08 7.666252113524358264e-09 6.113299381787797557e-09
8.500000000000000000e+01 6.144850554178519679e-08 7.672151856834707603e-09 6.120508491416602723e-09
8.600000000000000000e+01 6.151051050355773541e-08 7.678109318048959633e-09 6.127793606355753804e-09
8.700000000000000000e+01 6.157306327823214679e-08 7.684123799121834564e-09 6.135154490047153223e-09
8.800000000000000000e+01 6.163613880183416521e-08 7.690194596524483726e-09 6.142590401065352490e-09
8.900000000000000000e+01 6.169975583112343305e-08 7.696321007148529244e-09 6.150101016925214241e-09
9.000000000000000000e+01 6.176389589283327536e-08 7.702502324202966959e-09 6.157685654587110566e-09
9.100000000000000000e+01 6.182857849584117107e-08 7.708737842199635263e-09 6.165343984369543616e-09
9.200000000000000000e+01 6.189377890945435234e-08 7.715026850956880270e-09 6.173075263404102916e-09
9.300000000000000000e+01 6.195952069612533185e-08 7.721368643802085563e-09 6.180879175970845349e-09
9.400000000000000000e+01 6.202577721396287901e-08 7.727762508077633924e-09 6.188754942751387839e-09
9.500000000000000000e+01 6.209257325949703862e-08 7.734207734259279877e-09 6.196702271181216287e-09
9.600000000000000000e+01 6.215988554465450857e-08 7.740703607817076268e-09 6.204720407800124762e-09
9.700000000000000000e+01 6.222773490521077758e-08 7.747249417185198263e-09 6.212809012252251620e-09
9.800000000000000000e+01 6.229609509864405872e-08 7.753844445994791834e-09 6.220967271085282380e-09
9.900000000000000000e+01 6.236498958320672438e-08 7.760487980556528818e-09 6.229194876409592253e-09
1.000000000000000000e+02 6.243439517636962903e-08 7.767179304036428222e-09 6.237491042932598686e-09
1.010000000000000000e+02 6.250433176699231547e-08 7.773917701082227758e-09 6.245855402683419774e-09
1.020000000000000000e+02 6.257477738690260218e-08 7.780702454261128881e-09 6.254287175489754872e-09
1.030000000000000000e+02 6.264575423909704403e-08 7.787532848225466771e-09 6.262786001309056341e-09
1.040000000000000000e+02 6.271723709728139434e-08 7.794408165263916282e-09 6.271351066639596412e-09
1.050000000000000000e+02 6.278924487878248735e-08 7.801327689803076660e-09 6.279981969569492555e-09
1.060000000000000000e+02 6.286175892712330680e-08 7.808290704516202188e-09 6.288677955045837315e-09
1.070000000000000000e+02 6.293479651326796749e-08 7.815296495017447191e-09 6.297438583729976174e-09
1.080000000000000000e+02 6.300833411685032397e-08 7.822344344610091375e-09 6.306263041935289126e-09
1.090000000000000000e+02 6.308239535344008680e-08 7.829433540581759818e-09 6.315150959938436866e-09
1.100000000000000000e+02 6.315695501385274398e-08 7.836563367460512087e-09 6.324101487325159628e-09
1.110000000000000000e+02 6.323203177881000198e-08 7.843733115585333353e-09 6.333114203042292907e-09
1.120000000000000000e+02 6.330760319037072373e-08 7.850942070351051006e-09 6.342188268360644599e-09
1.130000000000000000e+02 6.338368958775132189e-08 7.858189524970070523e-09 6.351323266567700315e-09
1.140000000000000000e+02 6.346026942278745308e-08 7.865474767617752181e-09 6.360518356569800295e-09
1.150000000000000000e+02 6.353735981806817956e-08 7.872797094624447937e-09 6.369773101567783305e-09
1.160000000000000000e+02 6.361493981715936041e-08 7.880155797733220838e-09 6.379086641689269143e-09
1.170000000000000000e+02 6.369302841429347164e-08 7.887550177118693454e-09 6.388458553050827837e-09
1.180000000000000000e+02 6.377160168929330236e-08 7.894979528405897375e-09 6.397887926859436546e-09
1.190000000000000000e+02 6.385068233722449418e-08 7.902443156797732256e-09 6.407374369824212332e-09
1.200000000000000000e+02 6.393024193867351274e-08 7.909940362090268074e-09 6.416916948254037274e-09
1.210000000000000000e+02 6.401030478456938241e-08 7.917470454510724341e-09 6.426515255210636073e-09
1.220000000000000000e+02 6.409084664927959142e-08 7.925032738813857419e-09 6.436168384423622884e-09
1.230000000000000000e+02 6.417188630436524615e-08 7.932626531376063118e-09 6.445875879780098094e-09
1.240000000000000000e+02 6.425339776329995245e-08 7.940251141876325493e-09 6.455636791949548301e-09
1.250000000000000000e+02 6.433540386647934750e-08 7.947905892560603142e-09 6.465450712683170318e-09
1.260000000000000000e+02 6.441788104268165269e-08 7.955590099939639243e-09 6.475316727542543637e-09
1.270000000000000000e+02 6.450084719211027912e-08 7.963303091925842633e-09 6.485234337375337975e-09
1.280000000000000000e+02 6.458427975138429022e-08 7.971044192813244636e-09 6.495202631306343179e-09
1.290000000000000000e+02 6.466819458836606163e-08 7.978812737340735803e-09 6.505221100133875397e-09
1.300000000000000000e+02 6.475257277207633501e-08 7.986608057289068190e-09 6.515288856844312618e-09
1.310000000000000000e+02 6.483742870348614558e-08 7.994429493956486008e-09 6.525405355292134341e-09
1.320000000000000000e+02 6.492274231323668377e-08 8.002276387998954192e-09 6.535569714179075846e-09
1.330000000000000000e+02 6.500852979156742535e-08 8.010148088015444471e-09 6.545781389663252602e-09
1.340000000000000000e+02 6.509477095879897214e-08 8.018043943076234580e-09 6.556039485953154965e-09
1.350000000000000000e+02 6.518147950806192604e-08 8.025963310034648863e-09 6.566343436538933538e-09
1.360000000000000000e+02 6.526863535387402006e-08 8.033905546693955805e-09 6.576692335701362018e-09
1.370000000000000000e+02 6.535625378542752396e-08 8.041870018431724856e-09 6.587085628121030308e-09
1.380000000000000000e+02 6.544431478381257967e-08 8.049856091959470008e-09 6.597522401552774059e-09
1.390000000000000000e+02 6.553283397335259686e-08 8.057863141208362453e-09 6.608002099416604588e-09
1.400000000000000000e+02 6.562178864842959748e-08 8.065890542915080509e-09 6.618523772626200480e-09
1.410000000000000000e+02 6.571119725937632329e-08 8.073937679275122130e-09 6.629086892577068696e-09
1.420000000000000000e+02 6.580103590186876438e-08 8.082003937746495089e-09 6.639690491169205075e-09
1.430000000000000000e+02 6.589132154963519678e-08 8.090088710011992434e-09 6.650334018257790796e-09
1.440000000000000000e+02 6.598203218603511521e-08 8.098191393697028243e-09 6.661016514247686786e-09
1.450000000000000000e+02 6.607318167583822517e-08 8.106311389905640290e-09 6.671737394751388423e-09
1.460000000000000000e+02 6.616475126175653424e-08 8.114448107678313599e-09 6.682495734185319903e-09
1.470000000000000000e+02 6.625675326758329282e-08 8.122600957548225279e-09 6.693290929620066390e-09
1.480000000000000000e+02 6.634916791992278368e-08 8.130769359446871023e-09 6.704122028497778333e-09
1.490000000000000000e+02 6.644200900886921569e-08 8.138952734798896869e-09 6.714988444799578057e-09
1.500000000000000000e+02 6.653525664552880735e-08 8.147150515275021686e-09 6.725889225618405174e-09
1.510000000000000000e+02 6.662892237638054815e-08 8.155362131821445120e-09 6.736823748335821240e-09
1.520000000000000000e+02 6.672298883390869199e-08 8.163587027248775504e-09 6.747791084228196747e-09
1.530000000000000000e+02 6.681746645752400440e-08 8.171824644024936788e-09 6.758790595418932081e-09
1.540000000000000000e+02 6.691233657798497378e-08 8.180074435351590089e-09 6.769821342628501092e-09
1.550000000000000000e+02 6.700761127744780441e-08 8.188335855378656522e-09 6.780882687588369448e-09
1.560000000000000000e+02 6.710326913364444661e-08 8.196608368119835286e-09 6.791973668040024571e-09
1.570000000000000000e+02 6.719932511130734835e-08 8.204891440235024334e-09 6.803093676786593759e-09
1.580000000000000000e+02 6.729575650122585455e-08 8.213184545818405720e-09 6.814241724930568492e-09
1.590000000000000000e+02 6.739257718613878649e-08 8.221487164087268228e-09 6.825417188485827571e-09
1.600000000000000000e+02 6.748976598020969956e-08 8.229798779898260712e-09 6.836619107107087470e-09
1.610000000000000000e+02 6.758733648956268602e-08 8.238118884049607505e-09 6.847846844406991316e-09
1.620000000000000000e+02 6.768526796584436883e-08 8.246446972891029886e-09 6.859099440322005706e-09
1.630000000000000000e+02 6.778357151259777618e-08 8.254782549518664730e-09 6.870376230269482174e-09
1.640000000000000000e+02 6.788222665273646460e-08 8.263125121068493142e-09 6.881676250052442635e-09
